antecedents,consequents,support,confidence,lift
"Strategy, Singleplayer, Sandbox",Simulation,0.1103448275862069,0.9411764705882353,1.8196078431372547
"Exploration, Singleplayer",Open World,0.11379310344827587,0.7021276595744682,1.8180091185410339
"Realistic, Sports",Simulation,0.10689655172413794,0.9393939393939394,1.816161616161616
"RPG, Singleplayer",Adventure,0.15517241379310345,0.75,1.7975206611570247
Management,Simulation,0.13448275862068965,0.9285714285714284,1.7952380952380949
"Singleplayer, Management",Simulation,0.12413793103448276,0.9230769230769231,1.7846153846153845
"Multiplayer, Sports","Simulation, Singleplayer",0.16896551724137931,0.7424242424242424,1.7793638868019033
"Singleplayer, First-Person, FPS",Action,0.1,1.0,1.7575757575757576
Action RPG,Action,0.10689655172413794,1.0,1.7575757575757576
"Action, Singleplayer, Great Soundtrack",Adventure,0.1103448275862069,0.7272727272727273,1.7430503380916604
"Adventure, Co-op, Multiplayer","Action, Singleplayer",0.1103448275862069,0.7804878048780487,1.7410881801125702
"Realistic, Multiplayer","Simulation, Singleplayer",0.14482758620689656,0.7241379310344828,1.7355371900826446
Building,Simulation,0.1206896551724138,0.8974358974358976,1.735042735042735
"Story Rich, Action",Adventure,0.11724137931034483,0.723404255319149,1.733778793740109
"Story Rich, Action, Singleplayer",Adventure,0.10689655172413794,0.7209302325581396,1.7278493177013263
"Adventure, First-Person","Action, Singleplayer",0.11724137931034483,0.7727272727272727,1.7237762237762237
"Action, Great Soundtrack",Adventure,0.11379310344827587,0.717391304347826,1.7193675889328062
"First-Person, FPS",Action,0.13793103448275862,0.975609756097561,1.7147080561714707
"Story Rich, Atmospheric",Adventure,0.10344827586206896,0.7142857142857142,1.7119244391971662
"Sandbox, Indie","Simulation, Singleplayer",0.10344827586206896,0.7142857142857142,1.7119244391971662
"Adventure, Third Person, Singleplayer",Action,0.12758620689655173,0.9736842105263157,1.7113237639553427
"First-Person, Shooter",Action,0.11724137931034483,0.9714285714285714,1.7073593073593072
"First-Person, Shooter, FPS",Action,0.11379310344827587,0.9705882352941178,1.7058823529411766
"Building, Sandbox",Simulation,0.10344827586206896,0.8823529411764706,1.7058823529411764
Driving,Simulation,0.10344827586206896,0.8823529411764706,1.7058823529411764
"Building, Singleplayer",Simulation,0.10344827586206896,0.8823529411764706,1.7058823529411764
"Singleplayer, Shooter",Action,0.1103448275862069,0.9696969696969696,1.7043158861340677
"Multiplayer, First-Person, FPS",Action,0.1103448275862069,0.9696969696969696,1.7043158861340677
"Story Rich, Atmospheric","Action, Singleplayer",0.1103448275862069,0.7619047619047619,1.6996336996336996
"Singleplayer, FPS",Action,0.1,0.9666666666666668,1.698989898989899
"First-Person, Shooter, Multiplayer",Action,0.1,0.9666666666666668,1.698989898989899
"Multiplayer, Sports",Simulation,0.2,0.8787878787878788,1.6989898989898988
"Open World, Singleplayer, Action",Adventure,0.15862068965517243,0.7076923076923077,1.6961220597584235
"Atmospheric, Singleplayer, Action",Adventure,0.1413793103448276,0.7068965517241379,1.6942148760330578
"Action, Third Person",Adventure,0.1413793103448276,0.7068965517241379,1.6942148760330578
"Story Rich, Singleplayer",Adventure,0.13793103448275862,0.7017543859649122,1.681890677105988
"Atmospheric, Action",Adventure,0.16206896551724137,0.7014925373134329,1.6812631059578143
Shooter,Action,0.15172413793103448,0.9565217391304347,1.6811594202898548
"Racing, Multiplayer, Sports",Simulation,0.11379310344827587,0.8684210526315789,1.6789473684210523
"Adventure, Co-op","Action, Singleplayer",0.11379310344827587,0.75,1.6730769230769231
"Multiplayer, Shooter",Action,0.12758620689655173,0.9487179487179488,1.6674436674436675
"Multiplayer, Singleplayer, Sports",Simulation,0.16896551724137931,0.8596491228070176,1.6619883040935672
"Atmospheric, Great Soundtrack","Action, Singleplayer",0.1,0.7435897435897437,1.658777120315582
"Realistic, Singleplayer, Multiplayer",Simulation,0.14482758620689656,0.8571428571428572,1.6571428571428573
"Multiplayer, FPS",Action,0.11379310344827587,0.9428571428571428,1.657142857142857
"Action, Sports",Simulation,0.10344827586206896,0.8571428571428571,1.657142857142857
"Shooter, FPS",Action,0.11379310344827587,0.9428571428571428,1.657142857142857
"Co-op, Shooter",Action,0.1103448275862069,0.9411764705882353,1.6541889483065952
"Racing, Multiplayer",Simulation,0.1206896551724138,0.8536585365853658,1.6504065040650404
"Co-op, Multiplayer, Shooter",Action,0.10344827586206896,0.9375,1.6477272727272727
"Atmospheric, Third Person",Action,0.10344827586206896,0.9375,1.6477272727272727
"Realistic, Singleplayer",Simulation,0.1724137931034483,0.8474576271186441,1.6384180790960452
"Adventure, Third Person",Action,0.1413793103448276,0.9318181818181819,1.637741046831956
FPS,Action,0.1413793103448276,0.9318181818181819,1.637741046831956
"Realistic, Multiplayer",Simulation,0.16896551724137931,0.8448275862068966,1.6333333333333333
Sports,Simulation,0.22413793103448276,0.8441558441558442,1.632034632034632
"Singleplayer, Sports",Simulation,0.1793103448275862,0.8387096774193548,1.6215053763440859
"Racing, Sports",Simulation,0.12413793103448276,0.8372093023255814,1.6186046511627907
"Adventure, Co-op, Singleplayer",Action,0.11379310344827587,0.9166666666666667,1.6111111111111112
"Racing, Singleplayer",Simulation,0.10344827586206896,0.8333333333333334,1.6111111111111112
"Adventure, Co-op, Multiplayer, Singleplayer",Action,0.1103448275862069,0.9142857142857143,1.6069264069264069
